district,name,abbreviated_name,address,chief,phone,yasli,fax,email,mo,inn,ogrn,note
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 22 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 22 Адмиралтейского района               СПб,"Санкт-Петербург, ул. Псковская д.22 литер А. пом.1-н, 3н, 4н",Богачева  Наталья Александровна,+7(812)7144198,+,+7(812)7144198,dou22.adm@obr.gov.spb.ru,Коломна,7826718359,1027810319030,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад комбинированного вида № 27 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 27 Адмиралтейского района СПб,"Санкт-Петербург, наб. реки Фонтанки д.119, литера Б, пом. 2Н, Санкт-Петербург, наб. реки Фонтанки д.121, литера А, пом. 3Н ",Якушенко Марина Арнольдовна,+7(812)3105221,+,+7(812)3108737,dou27@adm-edu.spb.ru,Сенной округ,7826719232,1027810290353,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад компенсирующего вида № 30 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 30 Адмиралтейского района СПб,"Санкт-Петербург, наб. реки Пряжки д.44, лит. А ",Борисова Мария Олеговна,+7(812)4952801,-,7(812)4950525,gbdou30adm@yandex.ru,Коломна,7826719296,1027810291959,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 32  общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад общеразвивающего вида №32 Адмиралтейского района СПб,"Санкт-Петербург, набережная реки Мойки, дом 58, литера Б",Степанова Светлана Людвиговна,+7(812)3140558,+,+7(812)3140558,dou32@adm-edu.spb.ru,"Сенной округ, Адмиралтейский",7826719144,ОГРН 1027810292003,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад компенсирующего вида № 33 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 33 Адмиралтейского района СПб.,"Санкт-Петербург, Набережная реки Фонтанки, д.149, литера А, пом. 2Н, 4Н                                       ",Паршина Ирина Петровна,+7(812)7145663,-,+7(812)7145663,dou33@adm-edu.spb.ru,Коломна,7826718101,1027810291057,-
Адмиралтейский ,Государственное дошкольное образовательное учреждение Детский сад № 38 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 38 Адмиралтейского района СПб,"Санкт-Петербург, Набережная реки Мойки, д. 92, литера В, пом. 1Н",Кузьмина Елена Анатольевна,+7(812)3122773,+,+7(812)3148512,dou38@adm-edu.spb.ru,Адмиралтейский ,7826719313,1027810320383,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад общеразвивающего вида № 39 с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 39 Адмиралтейского района СПб,"Санкт-Петербург, ул. Глинки, д. 13, лит. А, пом 2-н, Санкт-Петербург, ул. Декабристов, д. 29, лит. Б, пом 1ЛК,14-Н, 15-Н, Санкт-Петербург, Парфеновская ул., д. 11, корп. 1",Сергеева Елена  Германовна,+7(812)6765048,+,+7(812)7144824,dou39@adm-edu.spb.ru,Адмиралтейский ,7826719240,1027810291343,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 41 Адмиралтейского района СПб,"Санкт-Петербург, Климов пер., д.2а, лит.А",Смирнова Нэля Леонидовна,+7(812)7143393,+,+7(812)7143393,gdou41@mail.ru,Коломна,7826719200,1027810309889,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 44 с приоритетным осуществлением  деятельности по художественно-эстетическому развитию детей Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №44 Адмиралтейского района СПб,"Санкт-Петербург, Садовая ул., д. 71, пом. 7н, 8н, ЗЛК, 9н",Петрова Елена  Евгеньевна,+7(812)3104811,-,+7(812)3104811,dou44@adm -edu.spb.ru,Коломна,7826718119,1027810319668,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 45 Адмиралтейского района СПб,"Санкт-Петербург, пр. Римского-Корсакова, д. 65/11, литера А, пом. 5н ",Красовская Людмила Олеговна,+7(812)7143881,-,+7(812)7143881,dou45@adm-edu.spb.ru,Коломна,7826718366,1027810309922,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 50 Адмиралтейского района СПб,"Санкт-Петербург, пер. Макаренко, д. 6-8, литер А, пом. 4н, 5н, 6н ",Ракчеева Вероника Алексеевна,+7(812)7144529,-,+7(812)7140093,dou50@bk.ru,Коломна,7826719874,1027810319107,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 Адмиралтейского района Санкт-Петербурга,ГБДОУ № 53 Адмиралтейского района СПб,"Санкт-Петербург, Английский пр., д. 4-6, литера Б",Зыскунова Наталья Викторовна,+7(812)7141514,-,7(812)7141494,dou53.adm@obr.gov.spb.ru,Коломна,7826719120,1027810290562,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательно учреждение детский сад № 60 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 60 Адмиралтейского района СПб,"Санкт-Петербург, ул.Декабристов, д.48, лит.А, пом. 1Н ",Кристаленко Наталия Алексеевна,+7(812)7140453,+,+7(812)7140453,dou60@adm-edu.spb.ru,Коломна,7826718415,1027810290430,-
Адмиралтейский ,Государственное дошкольное образовательное учреждение детский сад № 101 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №101 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург,  ул. Подольская, д. 39, лит. А ",Патрикеева Людмила Григорьевна,+7(812)3166988,+,+7(812)3166988,dou101@adm-edu.spb.ru,Семеновский,7826050449,1027810310131,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад общеразвивающего вида №104 с приоритетным осуществлением деятельности по физическому развитию детей Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №104 Адмиралтейского района СПб,"Санкт-Петербург, Измайловский проспект, дом 7, литер  А, пом. 1н, 3н, Санкт-Петербург, Московский пр., д.73 ,к.5, литера А, пом.13-Н, 35-Н, 37-Н, 166-Н  ",Затрутина Ольга Анатольевна,+7(812)2511337,+,(812)2512383,dou104@adm-edu.spb.ru,Измайловское,7826051435,1027810299516,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 105 комбинированного вида Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №105 Адмиралтейского района СПб,"Санкт-Петербург, улица Степана Разина, дом 8/231, литера А", Алексеева Екатерина Владимировна,+7(812)2512153,-,+7(812)2511448,dou105@adm-edu.spb.ru,Екатерингофский ,7826050417,1027810309878,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад №109 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Адмиралтейского  района Санкт-Петербурга,ГБДОУ детский сад № 109 общеразвивающего вида Адмиралтейского района СПб,"Санкт-Петербург, 11-я Красноармейская улица, д. 9, литера А",Соколова Елена  Васильевна,+7(812)6765078,,+7(812)6765078,GDOU.109@mail.ru,Измайловское,7826127388,1027810310263,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад комбинированного вида № 112 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 112 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Егорова ул, д. 14, литер А",Соколова Ольга Антоновна,+7(812)7127534,+,+7(812)7127534,dou112@adm-edu.spb.ru,Измайловское,7826051410,1027810291761,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение центр развития ребенка - детский сад № 114 Адмиралтейского района Санкт-Петербурга,ГБДОУ центр развития ребенка - детский сад № 114 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург,  Бронницкая, д. 2/70, литер А, пом. 5Н, 1Н",Прищепова Виктория Витальевна,+7(812)7101199 +7(812)3160374,+,+7(812)7101199,des-114@yandex.ru,Семеновский ,7826049429,1027810358080,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 115 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 115 Адмиралтейского района СПб,"Санкт-Петербург, 9-я Красноармейская улица, дом 9/8, литера А",Горнова Людмила Александровна,+7(812)2510827,+,+7(812)2516305,dou115@adm-edu.spb.ru,Измайловское,7826050512,1027810289275,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад компенсирующего вида № 116 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад  № 116 Адмиралтейского района СПб,"Санкт-Петербург, Лермонтовский проспект, дом 49, литер А",Михайлова Людмила Робертовна,+7(812)7130714,-,+7(812)7130714,dou116@adm-edu.spb.ru,Екатерингофский,7826051403,1027810299494,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад компенсирующего вида № 118 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад компенсирующего вида № 118 Адмиралтейского района СПб,"Санкт-Петербург, Измайловский проспект, дом 18, литера В",Колесова Елена Валерьевна,+7(812)2515810,-,+7(812)2515810,dou118@adm-edu.spb.ru,Измайловское,7826049838,102781032427,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад присмотра и оздоровления № 123 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 123 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Измайловский проспект, дом 5, литера А",Петрова Анна Дмитриевна,+7(812)2510056,+,+7(812)2510056,detskiisad123@yandex.ru,Измайловское,7826051361,1027810318469,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение Детский сад № 125 Адмиралтейского района Санкт-Петербурга,ГБДОУ Детский сад № 125 Адмиралтейского района СПб,"Санкт-Петербург, Рижский проспект, дом 72, литера О",Петрова Антонина Сергеевна,+7(812)2510335,+,7(812)2515118,dou125@adm-edu.spb.ru,Екатерингофское,7826050424,1027810290419,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение Детский сад комбинированного вида № 127 Адмиралтейского района Санкт-Петербурга,ГБДОУ Детский сад №127 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Троицкий проспект, дом 3-5, литер А",Брижевич Ольга  Викторовна,+7(812)2513953,-,+7(812)2513953,127adm@mail.ru,Измайловское,7826050400,1027810310021,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение Детский сад № 130 Адмиралтейского района Санкт-Петербурга,ГБДОУ Детский сад №130 Адмиралтейского района СПб,"Санкт-Петербург, 9-я Красноармейская улица, дом 4-6, литера А",Машинина Галина Ивановна, +7(812)2512977,+, +7(812)2512977,dou130@adm-edu.spb.ru,Измайловское ,7826050520,1027810291365,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 131 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 131 Адмиралтейского района Санкт-Петербурга ,"Санкт-Петербург, 1-я Красноармейская, дом 3-5-7-9, литера А, пом. 71-н, 72-н, 73-н, 7н,  Санкт-Петербург, ул. Бронницкая, д. 27, литера А, пом. 2-Н ",Фаустова Елена Анатольевна,+7(812)3163444,-,+7(812)3163444,dou131@adm-edu.spb.ru,"Измайловское, Семеновский",7826049820,1027810291090,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 133 Адмиралтейского района  Санкт-Петербурга,ГБДОУ детский сад № 133 Адмиралтейского района СПб,"Санкт-Петербург, 8-я Красноармейская, д. 13, литер А",Смирнова Наталья Викторовна,+7(812)2510637,+,+7(812)2510637,dou133@adm-edu.spb.ru,Измайловское,7826049813,1027810310230,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад №135 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 135 Адмиралтейского района Санкт-Петербурга ,"Санкт-Петербург, набережная реки Фонтанки, дом 94, литера А",Виноградова Ирина Ивановна,+7(812)3158115,+,+7(812)3158115,gbdou135@yandex.ru,Семёновский,7826051442,1027810290386,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад №145 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 145 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, набережная Обводного канала, дом 153, литер Г, Санкт-Петербург, Московский проспект, 75, литер А, пом.4-Н, 6-Н, 43-Н, Санкт-Петербург, набережная Обводного канала, дом 108, литер А, пом. 65-Н",Феклистова Светлана Леонидовна,+7(812) 316-36-39; +7(812)616-28-75,+,+7(812) 316-36-39; +7(812)616-28-75, dou145@adm-edu.spb.ru,Измайловское,7826051379,1027810312408,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад комбинированного вида № 151 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад комбинированного вида № 151 Адмиралтейкого района СПб,"Санкт-Петербург, Московский проспект, дом 42/27, литера А, пом. 7Н,8Н",Ефимова Тамара Николаевна,+7(812)3164860;  +7(812)3162792,-,+7(812)3164860; +7(812)5750479,Gdou_151@mail.ru,Семеновский,7826051393,1027810310065,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 154 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 154 общеразвивающего вида Адмиралтейского района Санкт-Петербурга ,"Санкт-Петербург, набережная Обводного канала, д. 125, литер А",Строшкова Ольга Владимировна,+7(812)3166592,+,+7(812)7468983,dou154@adm-edu.spb.ru  frida154@yandex.ru,Семеновский ,7826050463,1027810319074,-
Адмиралтейский ,Государственное бюджетное  дошкольное образовательное учреждение детский сад №159 присмотра и оздоровления Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 159 Адмиралтейского района СПб,"Санкт-Петербург, Бронницкая улица, дом 33, литера А, пом. 1Н",Тарасенко Ирина Алексеевна,+7(812)3161183,-,+7(812)3161183,gbdou159@mail.ru, Семеновский,7826127370,1027810293917,-
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад №8 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад №8 Фрунзенского района СПб," Санкт-Петербург, Волковский проспект, дом 20, корпус 2, литер А",Семенова Елена Борисовна,+7(812)490-53-17,да,+7(812)490-53-17,info.doufr008@obr.gov.spb.ru,Волковское,7816211249,1027807991496,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад №8 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад №8 Фрунзенского района СПб,"г.Санкт-Петербург, Расстанная улица, дом 23, литера А",Семенова Елена Борисовна,+7(812)766-25-01,да,+7(812)766-25-01,info.doufr008@obr.gov.spb.ru,Волковское,7816211249,1027807991496,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 комбинированного вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад №17 Фрунзенского района Санкт-Петербурга,"г.Санкт-Петербург, Боровая улица, дом 86, литера А",и.о. Баштовая Ольга Владимировна,+7(812)766-28-11,нет,+7(812)766-28-11,info.doufr017@obr.gov.spb.ru,Волковское,7816158235,1027807997381,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 комбинированного вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад №17 Фрунзенского района Санкт-Петербурга,"г.Санкт-Петербург, Прилукская улица, дом 22, литера А",и.о. Баштовая Ольга Владимировна,+7(812)766-28-11,нет,+7(812)766-28-11,info.doufr017@obr.gov.spb.ru,Волковское,7816158235,1027807997381,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 35 комбинированного вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 35 Фрунзенского района СПб,"Санкт-Петербург, Малая Карпатская улица, дом 23, корпус 2, литер А",Титова Марина Алексеевна,+7(812)706-42-72,да,+7(812)706-42-72,info.doufr035@obr.gov.spb.ru,75,7816011747,1037835022444,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 36 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 36 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Олеко Дундича, дом 39, корпус 2, литер А",Попова Ольга Владимировна,+7(812)776-68-74,да,+7(812)776-68-74,info.doufr035@obr.gov.spb.ru,75,7816157496,1027807996611,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 37 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 37 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Малая Карпатская, дом 9, корпус 2, литер А",Каевченко Светлана Владимировна,+7(812)778-93-75,да,+7(812)778-93-75,info.doufr037@obr.gov.spb.ru,75,7816158073,1027807991375,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 38 общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 38 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, Дунайский проспект, дом 58, корпус 2, литер А",Глухова Елена Игоревна,+7(812)706-86-41,да,+7(812)706-86-41,info.doufr038@obr.gov.spb.ru,75,7816158958,1027807997095,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 38 общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 38 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Димитрова, дом 39, корпус 2, литер А",Глухова Елена Игоревна,+7(812)410-85-83,да,+7(812)410-85-83,info.doufr038@obr.gov.spb.ru,75,7816158958,1027807997095,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 39 компенсирующего вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 39 Фрунзенского района СПб," Санкт-Петербург, улица Ярослава Гашека, дом 30, корпус 2, Литер А",Быватова Марианна Олеговна,+7(812)778-97-90,нет,+7(812)778-97-90,info.doufr039@obr.gov.spb.ru,75,7816158940,1037835049801,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 40 общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников Фрунзенского района Санкт-Петербурга ,ГБДОУ -детский сад № 40 Фрунзенского района Санкт-Петербурга,"192288, Санкт-Петербург, ул.Ярослава Гашека, дом 26,корпус 2, литер А",Фасхутдинова Татьяна Александровна,+7(812)708-23-39,да,+7(812)708-23-39,info.doufr040@obr.gov.spb.ru,75,7816157400,1027807992871,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 присмотра и оздоровления Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 41 присмотра и оздоровления Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Бухарестская, дом 114, корпус 3, литера А",Колесникова Наталья Генриховна,+7(812)773-55-74,да,+7(812)773-55-74,info.doufr041@obr.gov.spb.ru,75,7816157418,1027807992816,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 42 общеразвивающего вида с приоритетным осуществлением познавательно-речевой деятельности Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 42 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Димитрова, дом 29, корпус 3, литера  А",Куликовская Елена Анатольевна,+7(812)772-56-72,да,+7(812)772-56-72,info.doufr042@obr.gov.spb.ru,75,7816159101,1027807991397,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 42 общеразвивающего вида с приоритетным осуществлением познавательно-речевой деятельности Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 42 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, улица Димитрова, дом 37, корпус 2, литера А",Куликовская Елена Анатольевна,+7(812)453-93-32,да,+7(812)453-93-32,info.doufr042@obr.gov.spb.ru,75,7816159101,1027807991397,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 43 комбинированного вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 43 комбинированного вида Фрунзенского района Санкт-Петербурга,"192283, Санкт-Петербург, Загребский бульвар, д. 35, корп. 2., литер А", Коршунова Людмила Михайловна,+7(812)771-75-56,да,+7(812)771-75-56,info.doufr043@obr.gov.spb.ru,Балканский,7816157425,1037835002116,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 44 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 44 Фрунзенского района Санкт-Петербурга,"192283, Санкт-Петербург, Загребский бульвар, дом 31, корпус 2, литер А",Показий Наталия Владимировна,+7(812)776-06-95,да,+7(812)776-06-95,info.doufr044@obr.gov.spb.ru,Балканский,7816158250,1027808011802,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 общеразвивающего вида с деятельностью по познавательно - речевому развитию детей Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 45 Фрунзенского района СПб,"Санкт-Петербург, Загребский бульвар, дом 41, литера А",Николаева Юлия Владимировна,+7(812)771-75-72,да,+7(812)771-75-72,info.doufr045@obr.gov.spb.ru,Балканский,7816156566,1027808011747,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 общеразвивающего вида с деятельностью по познавательно - речевому развитию детей Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 45 Фрунзенского района СПб,"Санкт-Петербург, Загребский бульвар, дом 39, корпус 1, литера А",Николаева Юлия Владимировна,+7(812)778-67-19,да,+7(812)778-67-19,info.doufr045@obr.gov.spb.ru,Балканский,7816156566,1027808011747,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 47 комбинированного вида Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 47 Фрунзенского района СПб," Санкт-Петербург, улица Малая Балканская, дом № 42, корпус 2, литер А",Богданова Анна Борисовна,+7(812)771-74-51,да,+7(812)771-74-51,info.doufr047@obr.gov.spb.ru,Балканский,7816158267,1027807997645,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад №48 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад №48 Фрунзенского района СПб,"Санкт-Петербург, ул. Олеко Дундича, дом 35, корпус 2",Реплянчук Наталья Анатольевна,+7(812)366-62-24,да,+7(812)366-62-24,info.doufr048@obr.gov.spb.ru,75,7816545570,1127847461719,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 49 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 49 Фрунзенского района СПб,"Санкт-Петербург, Загребский бульвар, дом 17, корпус 2, литер А",Чабан Марина Владиславовна,+7(812)773-69-23,да,+7(812)773-69-23,info.doufr049@obr.gov.spb.ru ,Георгиевское,7816158193,1027807991441,
Фрунзенский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 Фрунзенского района Санкт-Петербурга ,ГБДОУ детский сад № 50 Фрунзенского района СПб,"Санкт-Петербург, Будапештская улица, дом 86, корпус 2, литер А",Дубовик Лариса Игоревна,+7(812)701-38-54,да,+7(812)701-38-54,info.doufr050@obr.gov.spb.ru,Георгиевское,7816159045,1027807997271,
